+------------------------------------------+---------+----------+----------+---------+
| Playlist: Software Architecture Monday   | Durati. | Cummull. | Remaini. | Progre. |
+------------------------------------------+---------+----------+----------+---------+
| Video 1: Lesson 1 - Event-Driven Archit  | 0:05:54 | 00:05:54 | 06:42:45 | 1.44%   |
| Video 2: Lesson 2 - Kafka vs. Standard   | 0:06:20 | 00:12:14 | 06:36:25 | 2.99%   |
| Video 3: Lesson 3 - Soft Skills: Gainin  | 0:09:39 | 00:21:53 | 06:26:46 | 5.36%   |
| Video 4: Lesson 4 - Microservices: Dist  | 0:14:16 | 00:36:09 | 06:12:30 | 8.85%   |
| Video 5: Lesson 5 - Microservices: Redu  | 0:09:47 | 00:45:56 | 06:02:43 | 11.24%  |
| Video 6: Lesson 6 - Classifying Archite  | 0:09:30 | 00:55:26 | 05:53:13 | 13.56%  |
| Video 7: Lesson 7 - Analyzing Architect  | 0:06:18 | 01:01:44 | 05:46:55 | 15.11%  |
| Video 8: Lesson 8 - Analyzing Architect  | 0:06:37 | 01:08:21 | 05:40:18 | 16.73%  |
| Video 9: Lesson 9 - Analyzing Architect  | 0:08:40 | 01:17:01 | 05:31:38 | 18.85%  |
| Video 10: Lesson 10 - Analyzing Architec | 0:07:00 | 01:24:01 | 05:24:38 | 20.56%  |
| Video 11: Lesson 11 - Analyzing Architec | 0:10:32 | 01:34:33 | 05:14:06 | 23.14%  |
| Video 12: Lesson 12 - CQRS and Microserv | 0:07:48 | 01:42:21 | 05:06:18 | 25.05%  |
| Video 13: Lesson13 - Microservices and R | 0:07:24 | 01:49:45 | 04:58:54 | 26.86%  |
| Video 14: Lesson14 - Refactoring Pattern | 0:04:51 | 01:54:36 | 04:54:03 | 28.04%  |
| Video 15: Lesson 15 - Refactoring: Busin | 0:09:17 | 02:03:53 | 04:44:46 | 30.32%  |
| Video 16: Lesson 16 - The Challenges of  | 0:06:47 | 02:10:40 | 04:37:59 | 31.98%  |
| Video 17: Lesson 17 - Architecture Trade | 0:10:02 | 02:20:42 | 04:27:57 | 34.43%  |
| Video 18: Lesson 18 - The Fallacies of D | 0:06:44 | 02:27:26 | 04:21:13 | 36.08%  |
| Video 19: Lesson19 Integration Styles: F | 0:06:08 | 02:33:34 | 04:15:05 | 37.58%  |
| Video 20: Lesson 20 - Integration Style: | 0:07:08 | 02:40:42 | 04:07:57 | 39.32%  |
| Video 21: Lesson 21 - Integration Styles | 0:06:18 | 02:47:00 | 04:01:39 | 40.87%  |
| Video 22: Lesson 22 - Integration Styles | 0:08:37 | 02:55:37 | 03:53:02 | 42.97%  |
| Video 23: Lesson 23 - Orchestration vs C | 0:06:19 | 03:01:56 | 03:46:43 | 44.52%  |
| Video 24: Lesson 24 - Lean Modeling Conc | 0:08:00 | 03:09:56 | 03:38:43 | 46.48%  |
| Video 25: Lesson 25 - Architectural Abst | 0:12:23 | 03:22:19 | 03:26:20 | 49.51%  |
| Video 26: Lesson 26 - Agile Architecture | 0:06:58 | 03:29:17 | 03:19:22 | 51.21%  |
| Video 27: Lesson 27 - Circuit Breaker Pa | 0:09:20 | 03:38:37 | 03:10:02 | 53.50%  |
| Video 28: Lesson 28 - Service Design Pat | 0:05:46 | 03:44:23 | 03:04:16 | 54.91%  |
