+------------------------------------------+---------+----------+----------+---------+
| Playlist: System Design                  | Durati. | Cummull. | Remaini. | Progre. |
+------------------------------------------+---------+----------+----------+---------+
| Video 1: System Design Basics: Horizont  | 0:07:56 | 00:07:56 | 06:26:26 | 2.01%   |
| Video 2: How to start with distributed   | 0:10:03 | 00:17:59 | 06:16:23 | 4.56%   |
| Video 3: What is Load Balancing?         | 0:13:50 | 00:31:49 | 06:02:33 | 8.07%   |
| Video 4: What is Consistent Hashing and  | 0:10:50 | 00:42:39 | 05:51:43 | 10.81%  |
| Video 5: What is a Message Queue and Wh  | 0:09:59 | 00:52:38 | 05:41:44 | 13.35%  |
| Video 6: What is a microservice archite  | 0:08:19 | 01:00:57 | 05:33:25 | 15.46%  |
| Video 7: What is Database Sharding?      | 0:08:56 | 01:09:53 | 05:24:29 | 17.72%  |
| Video 8: How Netflix onboards new conte  | 0:10:56 | 01:20:49 | 05:13:33 | 20.49%  |
| Video 9: System Design: Tinder as a mic  | 0:36:41 | 01:57:30 | 04:36:52 | 29.79%  |
| Video 10: Whatsapp System Design: Chat M | 0:27:00 | 02:24:30 | 04:09:52 | 36.64%  |
| Video 11: What is Distributed Caching? E | 0:14:04 | 02:38:34 | 03:55:48 | 40.21%  |
| Video 12: What is an API and how do you  | 0:15:26 | 02:54:00 | 03:40:22 | 44.12%  |
| Video 13: Capacity Estimation: How much  | 0:13:12 | 03:07:12 | 03:27:10 | 47.47%  |
| Video 14: How to avoid a single point of | 0:06:34 | 03:13:46 | 03:20:36 | 49.13%  |
| Video 15: Introduction to NoSQL database | 0:27:01 | 03:40:47 | 02:53:35 | 55.98%  |
| Video 16: How databases scale writes: Th | 0:17:22 | 03:58:09 | 02:36:13 | 60.39%  |
| Video 17: Distributed Consensus and Data | 0:15:48 | 04:13:57 | 02:20:25 | 64.39%  |
| Video 18: What is the Publisher Subscrib | 0:11:25 | 04:25:22 | 02:09:00 | 67.29%  |
| Video 19: Why do Databases fail? AntiPat | 0:08:27 | 04:33:49 | 02:00:33 | 69.43%  |
| Video 20: What's an Event Driven System? | 0:14:59 | 04:48:48 | 01:45:34 | 73.23%  |
| Video 21: Designing Instagram: System De | 0:24:29 | 05:13:17 | 01:21:05 | 79.44%  |
| Video 22: Service discovery and heartbea | 0:06:45 | 05:20:02 | 01:14:20 | 81.15%  |
| Video 23: Avoid cascading failures in a  | 0:18:06 | 05:38:08 | 00:56:14 | 85.74%  |
| Video 24: Detecting anomalies using Isol | 0:07:37 | 05:45:45 | 00:48:37 | 87.67%  |
| Video 25: Google Maps Algorithm: Designi | 0:22:22 | 06:08:07 | 00:26:15 | 93.34%  |
| Video 26: Containers and Virtualisation  | 0:08:00 | 06:16:07 | 00:18:15 | 95.37%  |
| Video 27: 5 Tips for System Design Inter | 0:08:19 | 06:24:26 | 00:09:56 | 97.48%  |
| Video 28: System Design Course Overview  | 0:05:51 | 06:30:17 | 00:04:05 | 98.96%  |
| Video 29: Low Level Design: A Video Cour | 0:04:05 | 06:34:22 | 00:00:00 | 100.00% |
+------------------------------------------+---------+----------+----------+---------+
